text,label
"Congratulations! You have won a lottery of $1,000,000. Claim now!",spam
"Get cheap loans at 0% interest, click this link immediately!",spam
"Limited time offer!!! Buy 1 get 1 free on all items.",spam
"You have been selected for a free gift voucher. Reply YES.",spam
"Earn money fast from home without any investment!",spam
"Win a brand new iPhone. Register with your card details.",spam
"Lowest price medicines available online. Order now.",spam
"Final reminder: Your account will be closed. Verify now.",spam
"URGENT: You won a free vacation. Contact us today.",spam
"Hello, I have attached the report for this week.",ham
"Please find the meeting schedule for tomorrow.",ham
"Can we reschedule our call to 5 PM?",ham
"Don't forget to submit the assignment by tonight.",ham
"Thank you for your payment. Invoice is attached.",ham
"Let's meet for lunch at 1 PM.",ham
"Your order has been shipped and will arrive tomorrow.",ham
"Reminder: Doctor appointment on Friday at 10 AM.",ham
"Here are the notes from today's lecture.",ham
"Could you please review the document and share feedback?",ham
"Happy Birthday! Have a great year ahead.",ham
